BirthRate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,LifeExpectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,InfantMortalityRate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.20%,,59035,Below Threshold,"$12,375 ",1.5-3%,75,Low,Libya,,,21611,"$9,376 ",$75B,3.30%,$389 ,,1.40%,14%,0.06,77,73,180%,1,29%,66%,0.046,6.0M,77.60%,Africa,$0B,$2B,12/1/2010
3.50%,0.377,2013,Below Threshold,$413 ,Above 3%,64,Moderate,Madagascar,7,,,$0 ,$9B,4.50%,$19 ,201,4.40%,2%,0.49,65,62,37%,1,43%,54%,0.028,21.1M,31.90%,Africa,$1B,$0B,12/1/2010
4.10%,0.259,1239,Below Threshold,$360 ,Above 3%,54,Low,Malawi,39,,,$0 ,$5B,8.50%,$30 ,157,5.30%,2%,0.246,54,53,21%,1,46%,51%,0.031,15.0M,15.50%,Africa,$0B,$0B,12/1/2010
4.80%,0.514,623,Below Threshold,$674 ,Above 3%,54,Low,Mali,8,,,$0 ,$9B,6.90%,$46 ,270,8.30%,2%,,54,54,53%,1,47%,50%,0.029,14.0M,36.00%,Africa,$0B,$0B,12/1/2010
3.50%,0.682,2215,Below Threshold,$977 ,Above 3%,62,Low,Mauritania,19,,,$0 ,$4B,6.00%,$58 ,696,7.00%,4%,0.17,63,60,77%,1,41%,56%,0.031,3.6M,56.70%,Africa,,,12/1/2010
1.20%,0.272,4118,Below Threshold,"$7,587 ",Below 1.5%,73,Very Friendly,Mauritius,6,,,"$4,688 ",$10B,5.40%,$427 ,161,1.30%,28%,0.089,77,69,97%,1,21%,71%,0.077,1.3M,40.60%,Africa,$2B,$0B,12/1/2010
2.20%,0.496,50608,Below Threshold,"$2,869 ",1.5-3%,70,Friendly,Morocco,12,,16183,$0 ,$91B,5.90%,$168 ,358,2.90%,52%,,72,68,101%,1,28%,67%,0.05,31.6M,57.70%,Africa,$8B,$2B,12/1/2010
4.10%,0.375,2882,Below Threshold,$387 ,Above 3%,49,Moderate,Mozambique,13,,9875,$0 ,$9B,5.70%,$22 ,230,7.20%,4%,0.163,50,48,30%,1,45%,51%,0.032,24.0M,31.00%,Africa,$0B,$0B,12/1/2010
2.70%,0.223,3176,Below Threshold,"$5,113 ",1.5-3%,63,Friendly,Namibia,66,,1552,"$4,688 ",$11B,8.20%,$416 ,339,3.80%,12%,0.097,65,60,90%,1,38%,59%,0.034,2.2M,41.60%,Africa,$1B,$0B,12/1/2010
5.00%,0.465,1412,Below Threshold,$360 ,Above 3%,57,Low,Niger,17,,,$0 ,$6B,6.90%,$24 ,270,6.60%,1%,,57,57,23%,1,50%,48%,0.026,15.9M,17.60%,Africa,$0B,,12/1/2010
4.20%,0.322,78910,Below Threshold,"$2,311 ",Above 3%,52,Moderate,Nigeria,25,,115138,$0 ,$369B,5.60%,$80 ,938,8.20%,24%,0.176,52,51,55%,1,44%,53%,0.027,159.7M,43.50%,Africa,$1B,$8B,12/1/2010
3.70%,0.31,594,Below Threshold,$519 ,Above 3%,63,Friendly,Rwanda,3,,,$0 ,$6B,10.80%,$56 ,148,4.40%,8%,0.167,64,61,33%,1,45%,53%,0.023,10.8M,24.00%,Africa,$0B,$0B,12/1/2010
3.60%,0.333,99,Below Threshold,"$1,128 ",Above 3%,66,Low,Sao Tome and Principe,144,,,$0 ,$0B,7.10%,$86 ,424,4.00%,19%,0.289,68,64,58%,1,42%,55%,0.036,0.2M,61.90%,Africa,$0B,$0B,12/1/2010
3.90%,0.455,7059,Below Threshold,$999 ,Above 3%,63,Low,Senegal,9,,3426,$0 ,$13B,4.80%,$48 ,666,4.70%,16%,,64,61,64%,1,44%,53%,0.031,13.0M,42.20%,Africa,$0B,$0B,12/1/2010
1.70%,0.441,704,Below Threshold,"$10,843 ",1.5-3%,74,Friendly,Seychelles,39,,,"$9,376 ",$1B,3.70%,$394 ,76,1.20%,41%,0.127,78,69,129%,1,22%,70%,0.076,0.1M,52.30%,Africa,$0B,$0B,12/1/2010
3.80%,2.352,689,Above Threshold,$448 ,Above 3%,45,Moderate,Sierra Leone,12,,,$0 ,$3B,15.40%,$69 ,357,11.40%,1%,0.213,45,45,35%,1,42%,55%,0.026,5.8M,38.20%,Africa,$0B,$0B,12/1/2010
4.50%,,609,Below Threshold,,Above 3%,54,Not Clustered,Somalia,,,,,,,,,9.70%,,,56,52,7%,1,48%,50%,0.028,9.6M,37.30%,Africa,,,12/1/2010
2.20%,0.3,460124,Below Threshold,"$7,176 ",1.5-3%,55,Very Friendly,South Africa,22,,142291,"$4,688 ",$365B,8.70%,$615 ,200,3.50%,24%,0.098,56,53,98%,1,30%,65%,0.052,50.9M,62.20%,Africa,$10B,$8B,12/1/2010
3.70%,,,Below Threshold,"$1,644 ",Above 3%,53,Low,South Sudan,,,,$0 ,$16B,2.10%,$32 ,,7.10%,,,54,52,,1,43%,54%,0.034,9.9M,17.90%,Africa,,,12/1/2010
3.50%,0.361,14173,Below Threshold,"$1,841 ",Above 3%,62,Moderate,Sudan,36,,16605,$0 ,$66B,6.50%,$119 ,180,5.50%,17%,,63,60,42%,1,42%,55%,0.031,35.7M,33.10%,Africa,$0B,$1B,12/1/2010
3.10%,0.365,1023,Below Threshold,"$3,262 ",Above 3%,49,Moderate,Swaziland,56,,,$0 ,$4B,8.40%,$261 ,104,6.30%,11%,0.098,48,49,61%,1,39%,58%,0.033,1.2M,21.50%,Africa,$0B,$0B,12/1/2010
4.10%,0.444,6846,Below Threshold,$510 ,Above 3%,59,Moderate,Tanzania,26,,20043,$0 ,$23B,7.20%,$37 ,172,4.10%,3%,0.145,60,58,47%,1,45%,52%,0.031,45.0M,28.10%,Africa,$1B,$1B,12/1/2010
3.70%,0.503,1540,Below Threshold,$503 ,Above 3%,56,Low,Togo,84,,2692,$0 ,$3B,7.50%,$37 ,270,6.10%,3%,,56,55,41%,1,42%,55%,0.027,6.3M,37.50%,Africa,$0B,$0B,12/1/2010
1.90%,0.623,25878,Below Threshold,"$4,176 ",1.5-3%,75,Very Friendly,Tunisia,11,,9674,$0 ,$44B,6.70%,$282 ,144,1.50%,37%,,77,73,105%,1,24%,70%,0.069,10.5M,65.90%,Africa,$3B,$1B,12/1/2010
4.50%,0.35,3784,Below Threshold,$472 ,Above 3%,57,Moderate,Uganda,24,,,$0 ,$16B,9.20%,$43 ,161,5.10%,13%,0.202,58,56,38%,1,49%,49%,0.024,34.0M,14.50%,Africa,$1B,$0B,12/1/2010
4.30%,0.143,2428,Below Threshold,"$1,225 ",Above 3%,55,Friendly,Zambia,18,,8054,$0 ,$16B,6.10%,$75 ,183,6.40%,10%,0.209,56,53,41%,1,47%,50%,0.027,13.2M,38.70%,Africa,$0B,$0B,12/1/2010
3.20%,0.391,9428,Below Threshold,$723 ,Above 3%,54,Low,Zimbabwe,90,,9000,$0 ,$9B,,,242,5.90%,12%,,54,53,59%,1,41%,55%,0.04,13.1M,33.20%,Africa,$1B,,12/1/2010
3.80%,0.363,8236,Below Threshold,$561 ,Above 3%,60,Low,Afghanistan,7,,,$0 ,$16B,8.70%,$43 ,275,7.50%,4%,0.157,61,58,46%,1,49%,49%,0.022,28.4M,24.70%,Asia,$0B,$0B,12/1/2010
1.40%,0.386,4221,Below Threshold,"$3,125 ",Below 1.5%,75,Very Friendly,Armenia,14,,2483,$0 ,$9B,4.60%,$143 ,581,1.60%,25%,0.192,78,71,130%,1,21%,69%,0.105,3.0M,63.60%,Asia,$0B,$0B,12/1/2010
1.80%,0.409,45731,Below Threshold,"$5,843 ",1.5-3%,71,Friendly,Azerbaijan,8,,11586,"$4,688 ",$53B,5.30%,$310 ,306,3.40%,46%,0.207,74,67,100%,1,23%,71%,0.059,9.1M,53.40%,Asia,$1B,$1B,12/1/2010
2.10%,0.35,56153,Below Threshold,$664 ,1.5-3%,70,Moderate,Bangladesh,19,,30756,$0 ,$100B,3.70%,$24 ,302,3.90%,4%,0.13,70,69,45%,1,32%,64%,0.046,151.1M,30.50%,Asia,$0B,$1B,12/1/2010
2.10%,0.408,477,Below Threshold,"$2,211 ",1.5-3%,67,Low,Bhutan,46,,,$0 ,$2B,4.10%,$90 ,274,3.40%,14%,0.14,67,67,55%,1,30%,66%,0.045,0.7M,34.80%,Asia,$0B,$0B,12/1/2010
1.70%,0.173,9160,Below Threshold,"$30,880 ",1.5-3%,78,Friendly,Brunei Darussalam,105,,3240,"$28,128 ",$12B,2.70%,$844 ,144,0.80%,53%,0.055,80,76,109%,1,27%,70%,0.037,0.4M,75.50%,Asia,,,12/1/2010
2.60%,0.214,4180,Below Threshold,$783 ,1.5-3%,71,Moderate,Cambodia,102,,5024,$0 ,$11B,5.80%,$46 ,173,3.70%,1%,,73,68,57%,1,32%,63%,0.05,14.4M,19.80%,Asia,$1B,$0B,12/1/2010
1.20%,0.635,8286892,Below Threshold,"$4,433 ",Below 1.5%,75,Friendly,China,38,,2516731,$0 ,"$5,931B",5.00%,$216 ,358,1.40%,34%,0.058,76,74,63%,1,18%,74%,0.084,"1,337.7M",49.20%,Asia,$50B,$60B,12/1/2010
1.40%,0.153,6241,Below Threshold,"$2,614 ",Below 1.5%,74,Very Friendly,Georgia,3,,3122,$0 ,$12B,10.10%,$267 ,387,1.50%,27%,0.158,77,70,91%,1,17%,69%,0.142,4.5M,52.90%,Asia,$1B,$0B,12/1/2010
1.30%,0.23,36289,Below Threshold,"$32,550 ",Below 1.5%,83,Very Friendly,"Hong Kong SAR, China",6,,13838,"$28,128 ",$229B,,,80,,72%,0.05,86,80,196%,1,12%,75%,0.129,7.0M,100.00%,Asia,$27B,$18B,12/1/2010
2.10%,0.649,2008823,Below Threshold,"$1,417 ",1.5-3%,66,Moderate,India,29,,723743,$0 ,"$1,708B",3.70%,$52 ,258,4.60%,8%,0.083,67,64,62%,1,30%,65%,0.051,"1,205.6M",30.90%,Asia,$14B,$10B,12/1/2010
2.00%,0.322,433989,Below Threshold,"$2,947 ",1.5-3%,70,Moderate,Indonesia,50,,211296,$0 ,$709B,2.90%,$86 ,266,2.70%,11%,0.133,72,68,88%,1,30%,65%,0.05,240.7M,49.90%,Asia,$8B,$8B,12/1/2010
0.90%,0.476,1170715,Below Threshold,"$43,118 ",Below 1.5%,83,Very Friendly,Japan,22,,499092,"$42,192 ","$5,495B",9.60%,"$4,115 ",355,0.20%,78%,0.016,86,80,97%,1,13%,64%,0.23,127.5M,90.50%,Asia,$15B,$39B,12/1/2010
2.30%,0.286,248729,Below Threshold,"$9,071 ",1.5-3%,69,Friendly,Kazakhstan,19,,74443,"$4,688 ",$148B,4.30%,$398 ,271,1.90%,32%,,73,64,122%,1,25%,68%,0.067,16.3M,53.70%,Asia,$1B,$1B,12/1/2010
1.40%,,71624,Below Threshold,,Below 1.5%,69,Not Clustered,"Korea, Dem. Rep.",,,18794,,,,,,2.50%,,,72,66,2%,1,23%,69%,0.088,24.5M,60.20%,Asia,,,12/1/2010
0.90%,0.288,567567,Below Threshold,"$22,151 ",Below 1.5%,81,Very Friendly,"Korea, Rep.",14,,249964,"$18,752 ","$1,094B",7.30%,"$1,498 ",250,0.40%,84%,0.055,84,77,105%,1,16%,73%,0.111,49.4M,81.90%,Asia,$14B,$21B,12/1/2010
2.70%,0.306,6399,Below Threshold,$880 ,1.5-3%,70,Friendly,Kyrgyz Republic,10,,2805,$0 ,$5B,6.70%,$60 ,202,2.70%,18%,0.315,74,65,99%,1,30%,66%,0.044,5.4M,35.30%,Asia,$0B,$0B,12/1/2010
2.80%,0.323,1874,Below Threshold,"$1,123 ",1.5-3%,67,Low,Lao PDR,93,,,$0 ,$7B,2.60%,$29 ,362,5.90%,7%,0.226,68,66,63%,1,37%,60%,0.037,6.4M,33.10%,Asia,$0B,$0B,12/1/2010
0.90%,,1030,Below Threshold,"$53,046 ",Below 1.5%,80,Not Clustered,"Macao SAR, China",,,,"$51,568 ",$28B,,,,,55%,0.053,82,77,210%,1,13%,80%,0.072,0.5M,100.00%,Asia,$28B,$1B,12/1/2010
1.80%,0.337,216804,Below Threshold,"$8,754 ",1.5-3%,75,Very Friendly,Malaysia,17,,72645,"$4,688 ",$248B,4.00%,$345 ,145,0.70%,56%,0.05,77,72,120%,1,28%,68%,0.048,28.3M,70.90%,Asia,$18B,$8B,12/1/2010
2.20%,0.093,1074,Below Threshold,"$6,552 ",1.5-3%,77,Friendly,Maldives,9,,,"$4,688 ",$2B,5.80%,$379 ,,1.10%,27%,0.104,78,76,152%,1,30%,65%,0.05,0.3M,40.00%,Asia,$2B,$0B,12/1/2010
2.30%,0.243,11511,Below Threshold,"$2,286 ",1.5-3%,67,Friendly,Mongolia,13,,3454,$0 ,$6B,6.30%,$143 ,192,2.90%,10%,0.201,71,63,93%,1,27%,69%,0.038,2.7M,67.60%,Asia,$0B,$0B,12/1/2010
1.80%,,8995,Below Threshold,,1.5-3%,65,Low,Myanmar,,,13997,,,1.90%,$15 ,,4.40%,0%,0.17,67,63,1%,1,26%,69%,0.051,51.9M,31.40%,Asia,$0B,$0B,12/1/2010
2.30%,0.317,3755,Below Threshold,$596 ,1.5-3%,67,Moderate,Nepal,31,,10218,$0 ,$16B,5.90%,$36 ,338,3.60%,8%,0.08,68,66,34%,1,37%,58%,0.049,26.8M,16.80%,Asia,$0B,$1B,12/1/2010
2.70%,0.309,161396,Below Threshold,"$1,023 ",1.5-3%,66,Moderate,Pakistan,21,,84311,$0 ,$177B,3.00%,$30 ,560,7.30%,8%,0.14,67,65,57%,1,35%,60%,0.043,173.1M,36.60%,Asia,$1B,$1B,12/1/2010
2.50%,0.438,81591,Below Threshold,"$2,136 ",1.5-3%,69,Moderate,Philippines,37,,40512,$0 ,$200B,4.20%,$90 ,195,2.50%,25%,0.077,72,65,89%,1,35%,61%,0.037,93.4M,45.30%,Asia,$3B,$4B,12/1/2010
0.90%,0.254,13520,Below Threshold,"$46,570 ",Below 1.5%,82,Very Friendly,Singapore,3,,34280,"$42,192 ",$236B,4.10%,"$1,893 ",84,0.20%,71%,0.054,84,79,145%,1,17%,74%,0.09,5.1M,100.00%,Asia,$14B,$19B,12/1/2010
1.80%,0.966,12710,Below Threshold,"$2,400 ",1.5-3%,74,Friendly,Sri Lanka,37,,9844,$0 ,$50B,3.40%,$82 ,256,0.90%,12%,0.102,77,71,84%,1,25%,67%,0.078,20.7M,18.30%,Asia,$1B,$1B,12/1/2010
3.30%,0.84,2860,Below Threshold,$740 ,Above 3%,67,Moderate,Tajikistan,27,,2370,$0 ,$6B,6.00%,$44 ,224,4.50%,12%,0.242,70,64,78%,1,36%,61%,0.033,7.6M,26.50%,Asia,$0B,$0B,12/1/2010
1.10%,0.369,295282,Below Threshold,"$4,803 ",Below 1.5%,74,Very Friendly,Thailand,32,,117429,"$4,688 ",$319B,3.80%,$183 ,264,1.30%,22%,0.059,77,71,108%,1,19%,72%,0.089,66.4M,44.10%,Asia,$24B,$7B,12/1/2010
3.60%,0.11,183,Below Threshold,$876 ,Above 3%,66,Low,Timor-Leste,110,,,$0 ,$1B,5.60%,$46 ,276,5.20%,0%,0.11,68,64,44%,1,47%,50%,0.031,1.1M,29.50%,Asia,$0B,$0B,12/1/2010
2.20%,,53054,Below Threshold,"$4,393 ",1.5-3%,65,Not Clustered,Turkmenistan,,,22675,$0 ,$22B,2.10%,$95 ,,5.10%,3%,,69,61,63%,1,29%,67%,0.041,5.0M,48.40%,Asia,,,12/1/2010
2.30%,0.956,104443,Below Threshold,"$1,377 ",1.5-3%,68,Low,Uzbekistan,15,,43747,$0 ,$39B,5.40%,$75 ,205,4.00%,20%,,71,65,76%,1,30%,66%,0.044,28.6M,36.20%,Asia,$0B,,12/1/2010
1.60%,0.329,150230,Below Threshold,"$1,334 ",1.5-3%,76,Friendly,Vietnam,38,,58912,$0 ,$116B,6.90%,$83 ,941,2.10%,31%,0.131,80,71,125%,1,24%,70%,0.065,86.9M,30.40%,Asia,$4B,$1B,12/1/2010
1.30%,0.331,4283,Below Threshold,"$4,175 ",Below 1.5%,77,Friendly,Albania,6,,2059,$0 ,$12B,5.50%,$207 ,360,1.50%,45%,0.128,80,74,86%,1,23%,67%,0.101,2.9M,52.20%,Europe,$2B,$1B,12/1/2010
1.00%,,517,Below Threshold,,Below 1.5%,,Not Clustered,Andorra,,,,,,7.20%,"$2,958 ",,0.20%,81%,,,,84%,1,,,,0.1M,87.80%,Europe,,,12/1/2010
0.90%,0.532,66897,Below Threshold,"$45,017 ",Below 1.5%,81,Very Friendly,Austria,25,,34228,"$42,192 ",$378B,11.60%,"$5,272 ",170,0.40%,75%,,83,78,146%,1,15%,67%,0.178,8.4M,65.90%,Europe,$21B,$12B,12/1/2010
1.10%,0.805,62222,Below Threshold,"$5,819 ",Below 1.5%,71,Friendly,Belarus,10,,27686,"$4,688 ",$55B,5.60%,$323 ,798,0.50%,32%,0.092,77,65,109%,1,15%,71%,0.139,9.5M,74.60%,Europe,$1B,$1B,12/1/2010
1.20%,0.567,108947,Below Threshold,"$43,151 ",Below 1.5%,81,Very Friendly,Belgium,4,,60892,"$42,192 ",$471B,10.50%,"$4,570 ",156,0.40%,75%,,83,78,111%,1,17%,66%,0.172,10.9M,97.60%,Europe,$12B,$21B,12/1/2010
0.90%,0.222,31125,Below Threshold,"$4,362 ",Below 1.5%,76,Moderate,Bosnia and Herzegovina,64,,6451,$0 ,$17B,9.80%,$427 ,422,0.70%,52%,0.079,78,73,81%,1,17%,68%,0.151,3.8M,39.20%,Europe,$1B,$0B,12/1/2010
1.00%,0.28,44679,Below Threshold,"$6,453 ",Below 1.5%,74,Friendly,Bulgaria,18,,17897,"$4,688 ",$48B,7.60%,$480 ,616,1.10%,46%,0.111,77,70,138%,1,13%,68%,0.183,7.4M,72.30%,Europe,$4B,$1B,12/1/2010
1.00%,0.221,20884,Below Threshold,"$13,327 ",Below 1.5%,77,Friendly,Croatia,9,,8564,"$9,376 ",$59B,7.80%,"$1,051 ",196,0.50%,57%,0.104,80,74,114%,1,15%,67%,0.175,4.4M,57.50%,Europe,$8B,$1B,12/1/2010
1.20%,0.223,7708,Below Threshold,"$20,959 ",Below 1.5%,79,Very Friendly,Cyprus,8,,2443,"$18,752 ",$23B,7.40%,"$2,012 ",149,0.30%,53%,,81,77,94%,1,18%,71%,0.116,1.1M,67.60%,Europe,$2B,$1B,12/1/2010
1.10%,0.48,111752,Below Threshold,"$18,950 ",Below 1.5%,78,Friendly,Czech Republic,20,,44043,"$18,752 ",$198B,7.40%,"$1,404 ",557,0.30%,69%,0.059,81,74,123%,1,14%,70%,0.154,10.5M,73.30%,Europe,$8B,$4B,12/1/2010
1.10%,0.281,46303,Below Threshold,"$56,411 ",Below 1.5%,79,Very Friendly,Denmark,6,,19307,"$56,256 ",$313B,11.10%,"$6,266 ",135,0.30%,89%,,81,77,116%,1,18%,65%,0.167,5.5M,86.80%,Europe,$6B,$9B,12/1/2010
1.20%,0.486,18339,Below Threshold,"$14,295 ",Below 1.5%,76,Very Friendly,Estonia,7,,5568,"$14,064 ",$19B,6.30%,$894 ,81,0.40%,74%,0.078,81,71,127%,1,15%,67%,0.175,1.3M,68.10%,Europe,$1B,$1B,12/1/2010
,,711,Below Threshold,,Above 3%,82,Not Clustered,Faeroe Islands,,,,,,,,,,75%,,84,79,120%,1,,,,0.0M,40.90%,Europe,,,12/1/2010
1.10%,0.408,61844,Below Threshold,"$44,134 ",Below 1.5%,80,Very Friendly,Finland,14,,36429,"$42,192 ",$237B,9.00%,"$3,978 ",243,0.30%,87%,,83,77,156%,1,17%,66%,0.171,5.4M,83.60%,Europe,$5B,$5B,12/1/2010
1.30%,0.648,361273,Below Threshold,"$39,448 ",Below 1.5%,82,Very Friendly,France,7,,261157,"$37,504 ","$2,565B",11.70%,"$4,634 ",132,0.40%,77%,,85,78,91%,1,18%,65%,0.168,65.0M,78.30%,Europe,$56B,$46B,12/1/2010
0.80%,0.47,745384,Below Threshold,"$40,408 ",Below 1.5%,81,Very Friendly,Germany,15,,329769,"$37,504 ","$3,304B",11.50%,"$4,668 ",215,0.40%,82%,,83,78,107%,1,13%,66%,0.208,81.8M,74.30%,Europe,$49B,$91B,12/1/2010
1.00%,0.467,86717,Below Threshold,"$26,380 ",Below 1.5%,81,Friendly,Greece,19,,27615,"$23,440 ",$294B,9.40%,"$2,442 ",224,0.40%,44%,,83,78,111%,1,15%,67%,0.19,11.2M,76.30%,Europe,$13B,$3B,12/1/2010
0.90%,0.546,50583,Below Threshold,"$12,750 ",Below 1.5%,75,Friendly,Hungary,4,,25667,"$9,376 ",$128B,8.00%,"$1,026 ",277,0.60%,65%,0.076,78,71,120%,1,15%,69%,0.167,10.0M,68.90%,Europe,$6B,$3B,12/1/2010
1.50%,0.261,1962,Below Threshold,"$39,507 ",1.5-3%,82,Very Friendly,Iceland,5,,5369,"$37,504 ",$13B,9.40%,"$3,730 ",140,0.20%,93%,0.103,84,80,107%,1,21%,67%,0.121,0.3M,93.60%,Europe,$1B,$1B,12/1/2010
1.70%,0.253,40000,Below Threshold,"$45,917 ",1.5-3%,81,Very Friendly,Ireland,13,,14219,"$42,192 ",$209B,9.30%,"$4,320 ",76,0.40%,70%,,83,79,105%,1,21%,67%,0.113,4.6M,61.80%,Europe,$8B,$7B,12/1/2010
,,,Below Threshold,,Above 3%,,Not Clustered,Isle of Man,,,,,,,,,,,,,,,1,,,,0.1M,52.00%,Europe,,,12/1/2010
0.90%,0.677,406307,Below Threshold,"$34,673 ",Below 1.5%,83,Friendly,Italy,6,,170239,"$32,816 ","$2,055B",9.40%,"$3,205 ",285,0.30%,54%,0.04,85,80,155%,1,14%,66%,0.203,59.3M,68.30%,Europe,$40B,$33B,12/1/2010
1.90%,0.165,,Below Threshold,"$3,233 ",1.5-3%,70,Friendly,Kosovo,58,,2496,$0 ,$6B,,,163,,,0.143,72,68,,1,28%,66%,0.067,1.8M,,Europe,,,12/1/2010
0.90%,0.376,7616,Below Threshold,"$11,447 ",Below 1.5%,74,Very Friendly,Latvia,16,,4644,"$9,376 ",$24B,6.50%,$742 ,293,0.80%,68%,0.096,78,69,110%,1,14%,68%,0.184,2.1M,67.70%,Europe,$1B,$1B,12/1/2010
0.90%,,,Below Threshold,,Below 1.5%,82,Not Clustered,Liechtenstein,,,,,,,,,,80%,,84,80,98%,1,,,,0.0M,14.50%,Europe,,,12/1/2010
1.20%,0.451,13561,Below Threshold,"$11,852 ",Below 1.5%,74,Very Friendly,Lithuania,22,,7052,"$9,376 ",$37B,7.00%,$782 ,175,0.60%,62%,0.06,79,68,159%,1,15%,69%,0.155,3.1M,66.80%,Europe,$1B,$1B,12/1/2010
1.20%,0.2,10829,Below Threshold,"$102,679 ",Below 1.5%,81,Friendly,Luxembourg,19,,4220,"$98,448 ",$52B,7.20%,"$7,592 ",59,0.20%,91%,,84,78,143%,1,18%,68%,0.14,0.5M,88.50%,Europe,$4B,$4B,12/1/2010
1.10%,0.083,10873,Below Threshold,"$4,442 ",Below 1.5%,75,Very Friendly,"Macedonia, FYR",3,,2883,$0 ,$9B,7.00%,$309 ,119,0.90%,52%,0.095,77,73,102%,1,17%,71%,0.117,2.1M,57.00%,Europe,$0B,$0B,12/1/2010
0.90%,,2589,Below Threshold,"$19,695 ",Below 1.5%,82,Friendly,Malta,,,848,"$18,752 ",$8B,8.50%,"$1,707 ",,0.60%,63%,0.046,84,79,107%,1,16%,70%,0.145,0.4M,94.70%,Europe,$1B,$0B,12/1/2010
1.20%,0.304,4855,Below Threshold,"$1,632 ",Below 1.5%,69,Friendly,Moldova,10,,3426,$0 ,$6B,11.70%,$190 ,228,1.50%,32%,0.164,72,65,71%,1,17%,72%,0.112,3.6M,44.90%,Europe,$0B,$0B,12/1/2010
,,,Below Threshold,"$145,230 ",Above 3%,,Not Clustered,Monaco,,,,"$140,640 ",$5B,4.40%,"$6,431 ",,0.30%,75%,,,,64%,1,,,,0.0M,100.00%,Europe,,,12/1/2010
1.20%,0.254,2582,Below Threshold,"$6,636 ",Below 1.5%,75,Very Friendly,Montenegro,10,,1174,"$4,688 ",$4B,7.20%,$476 ,372,0.60%,38%,0.095,77,72,189%,1,20%,68%,0.125,0.6M,63.10%,Europe,$1B,$0B,12/1/2010
1.10%,0.394,182078,Below Threshold,"$46,773 ",Below 1.5%,81,Very Friendly,Netherlands,8,,83426,"$42,192 ",$777B,12.10%,"$5,676 ",134,0.40%,91%,0.018,83,79,115%,1,18%,67%,0.154,16.6M,87.10%,Europe,$19B,$20B,12/1/2010
1.30%,0.407,57187,Below Threshold,"$86,096 ",Below 1.5%,81,Very Friendly,Norway,7,,32338,"$84,384 ",$421B,10.00%,"$8,694 ",87,0.30%,93%,,83,79,115%,1,19%,66%,0.15,4.9M,79.10%,Europe,$5B,$15B,12/1/2010
1.10%,0.401,317254,Below Threshold,"$12,304 ",Below 1.5%,77,Very Friendly,Poland,32,,101539,"$9,376 ",$470B,7.00%,$860 ,325,0.50%,62%,,81,72,123%,1,15%,72%,0.135,38.2M,60.90%,Europe,$10B,$9B,12/1/2010
1.00%,0.426,52361,Below Threshold,"$21,653 ",Below 1.5%,79,Very Friendly,Portugal,5,,23541,"$18,752 ",$229B,10.80%,"$2,324 ",298,0.30%,53%,,82,76,115%,1,15%,67%,0.18,10.6M,60.60%,Europe,$13B,$5B,12/1/2010
1.10%,0.435,78745,Below Threshold,"$8,139 ",Below 1.5%,74,Friendly,Romania,9,,35031,"$4,688 ",$165B,5.90%,$457 ,222,1.20%,40%,0.141,77,70,111%,1,15%,70%,0.148,20.2M,53.80%,Europe,$2B,$2B,12/1/2010
1.30%,0.465,1740776,Below Threshold,"$10,710 ",Below 1.5%,69,Moderate,Russian Federation,29,,702292,"$9,376 ","$1,525B",6.30%,$669 ,320,1.00%,43%,0.108,75,63,166%,1,15%,72%,0.131,142.4M,73.70%,Europe,$13B,$30B,12/1/2010
1.10%,,,Below Threshold,,Below 1.5%,83,Friendly,San Marino,,,,,,5.30%,"$3,319 ",,0.30%,,0.054,86,80,99%,1,,,,0.0M,94.10%,Europe,,,12/1/2010
0.90%,0.34,45962,Below Threshold,"$5,073 ",Below 1.5%,74,Friendly,Serbia,13,,15536,"$4,688 ",$37B,10.70%,$546 ,279,0.70%,41%,0.173,77,71,125%,1,17%,69%,0.137,7.3M,55.20%,Europe,$1B,$1B,12/1/2010
1.10%,0.474,36094,Below Threshold,"$16,151 ",Below 1.5%,76,Very Friendly,Slovak Republic,18,,17828,"$14,064 ",$87B,9.00%,"$1,446 ",257,0.70%,76%,,79,72,109%,1,15%,73%,0.123,5.4M,54.70%,Europe,$2B,$2B,12/1/2010
1.10%,0.346,15328,Below Threshold,"$22,942 ",Below 1.5%,80,Very Friendly,Slovenia,6,,7230,"$18,752 ",$47B,8.90%,"$2,044 ",260,0.30%,70%,,83,76,103%,1,14%,69%,0.167,2.0M,50.00%,Europe,$3B,$1B,12/1/2010
1.00%,0.568,269675,Below Threshold,"$29,732 ",Below 1.5%,82,Very Friendly,Spain,47,,127749,"$28,128 ","$1,385B",9.60%,"$2,902 ",197,0.40%,66%,,85,79,111%,1,15%,68%,0.171,46.6M,78.40%,Europe,$59B,$23B,12/1/2010
1.20%,0.52,52515,Below Threshold,"$49,377 ",Below 1.5%,82,Very Friendly,Sweden,16,,51315,"$46,880 ",$463B,9.50%,"$4,694 ",122,0.30%,90%,,84,80,117%,1,17%,65%,0.182,9.4M,85.10%,Europe,$11B,$15B,12/1/2010
